Season,Date,HomeTeam,AwayTeam,FTR,B365,BS,BW,GB,IW,LB,PS,SB,SJ,VC,WH
S0910,15/08/2009,Aston Villa,Wigan,A,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,15/08/2009,Blackburn,Man City,A,21.0,22.0,20.0,21.0,22.0,21.0,0.0,21.0,22.0,22.0,21.5
S0910,15/08/2009,Bolton,Sunderland,A,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,15/08/2009,Chelsea,Hull,H,11.7,12.0,11.7,12.0,12.0,11.7,0.0,11.7,11.799999999999999,11.7,11.7
S0910,15/08/2009,Everton,Arsenal,A,23.0,22.0,22.5,23.0,23.0,22.5,0.0,22.0,22.5,23.0,23.0
S0910,15/08/2009,Portsmouth,Fulham,A,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,26.0
S0910,15/08/2009,Stoke,Burnley,H,19.099999999999998,19.099999999999998,18.5,19.0,19.0,19.099999999999998,0.0,19.0,19.099999999999998,19.0,20.0
S0910,15/08/2009,Wolves,West Ham,A,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,16/08/2009,Man United,Birmingham,H,12.0,12.0,12.0,12.0,12.0,11.7,0.0,11.799999999999999,12.0,11.7,12.0
S0910,16/08/2009,Tottenham,Liverpool,H,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,18/08/2009,Sunderland,Chelsea,A,15.3,15.3,14.5,15.0,15.0,15.700000000000001,0.0,15.0,15.3,15.700000000000001,15.0
S0910,18/08/2009,Wigan,Wolves,A,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,19/08/2009,Birmingham,Portsmouth,H,20.0,21.0,19.0,20.0,21.5,21.0,0.0,20.0,20.0,20.0,20.5
S0910,19/08/2009,Burnley,Man United,H,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,19/08/2009,Hull,Tottenham,A,20.0,20.0,19.0,19.5,20.0,20.0,0.0,20.0,20.0,20.0,20.0
S0910,19/08/2009,Liverpool,Stoke,H,12.5,12.5,12.0,12.5,12.2,13.0,0.0,12.2,12.5,12.9,12.5
S0910,22/08/2009,Arsenal,Portsmouth,H,11.7,11.7,11.5,12.0,12.0,12.0,0.0,11.7,11.799999999999999,11.7,11.7
S0910,22/08/2009,Birmingham,Stoke,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,22/08/2009,Hull,Bolton,H,26.0,25.0,23.5,25.0,23.0,25.0,0.0,23.5,23.799999999999997,24.0,25.0
S0910,22/08/2009,Man City,Wolves,H,13.3,13.600000000000001,12.5,13.3,13.5,13.3,0.0,12.5,13.3,13.3,13.600000000000001
S0910,22/08/2009,Sunderland,Blackburn,H,21.0,21.0,20.0,20.0,21.0,21.0,0.0,20.0,20.0,20.0,21.0
S0910,22/08/2009,Wigan,Man United,A,15.3,15.3,15.2,15.3,16.0,15.0,0.0,15.0,15.0,15.0,15.3
S0910,23/08/2009,Burnley,Everton,H,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,23/08/2009,Fulham,Chelsea,A,15.700000000000001,15.700000000000001,15.0,15.5,15.5,15.3,0.0,15.700000000000001,15.700000000000001,15.0,15.700000000000001
S0910,23/08/2009,West Ham,Tottenham,A,23.799999999999997,23.799999999999997,22.5,23.0,22.5,23.799999999999997,0.0,22.5,23.0,23.0,23.0
S0910,24/08/2009,Liverpool,Aston Villa,A,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,29/08/2009,Blackburn,West Ham,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,29/08/2009,Bolton,Liverpool,A,15.3,15.700000000000001,15.0,15.5,15.5,15.700000000000001,0.0,15.5,15.700000000000001,15.700000000000001,15.3
S0910,29/08/2009,Chelsea,Burnley,H,11.399999999999999,11.200000000000001,11.0,11.5,11.7,11.399999999999999,0.0,11.200000000000001,11.399999999999999,11.399999999999999,11.399999999999999
S0910,29/08/2009,Man United,Arsenal,H,22.0,21.5,20.5,21.0,20.0,20.0,0.0,21.0,21.0,21.0,21.5
S0910,29/08/2009,Stoke,Sunderland,H,23.799999999999997,23.799999999999997,23.0,23.0,23.0,22.0,0.0,23.0,23.799999999999997,22.0,23.799999999999997
S0910,29/08/2009,Tottenham,Birmingham,H,13.600000000000001,13.3,13.5,13.799999999999999,13.5,13.3,0.0,13.3,13.600000000000001,13.600000000000001,13.3
S0910,29/08/2009,Wolves,Hull,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,30/08/2009,Aston Villa,Fulham,H,17.3,17.3,16.5,17.3,17.7,17.3,0.0,17.0,17.3,17.0,17.3
S0910,30/08/2009,Everton,Wigan,H,17.3,17.3,16.5,17.5,17.0,18.0,0.0,17.0,17.3,17.5,17.5
S0910,30/08/2009,Portsmouth,Man City,A,15.700000000000001,15.700000000000001,15.0,15.700000000000001,16.5,16.200000000000003,0.0,15.3,15.700000000000001,16.200000000000003,15.700000000000001
S0910,12/09/2009,Blackburn,Wolves,H,18.3,18.3,18.5,18.5,18.5,18.3,0.0,18.0,18.0,18.5,18.5
S0910,12/09/2009,Liverpool,Burnley,H,12.0,12.0,12.0,12.0,12.2,11.7,0.0,11.299999999999999,11.799999999999999,12.0,11.7
S0910,12/09/2009,Man City,Arsenal,H,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,12/09/2009,Portsmouth,Bolton,A,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,12/09/2009,Stoke,Chelsea,A,14.0,14.0,14.0,14.0,14.0,14.0,0.0,13.5,14.0,14.0,13.600000000000001
S0910,12/09/2009,Sunderland,Hull,H,17.5,17.5,17.5,17.7,18.0,18.0,0.0,17.0,18.0,18.0,17.5
S0910,12/09/2009,Tottenham,Man United,A,23.0,23.0,22.0,22.5,23.5,22.5,0.0,22.0,22.0,22.5,23.0
S0910,12/09/2009,Wigan,West Ham,H,23.0,23.0,21.5,23.0,22.0,22.5,0.0,22.0,22.5,22.0,22.5
S0910,13/09/2009,Birmingham,Aston Villa,A,22.5,23.0,22.0,22.0,23.0,22.5,0.0,21.0,22.5,22.5,22.0
S0910,13/09/2009,Fulham,Everton,H,26.0,25.0,24.0,26.0,24.0,25.0,0.0,23.0,26.0,26.0,26.200000000000003
S0910,19/09/2009,Arsenal,Wigan,H,12.5,12.9,12.5,12.2,12.2,12.2,0.0,12.0,12.2,12.5,12.2
