Season,Date,HomeTeam,AwayTeam,FTR,B365,BS,BW,GB,IW,LB,PS,SB,SJ,VC,WH
S0910,15/08/2009,Aston Villa,Wigan,A,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,15/08/2009,Blackburn,Man City,A,2.1,2.2,2.0,2.1,2.2,2.1,0.0,2.1,2.2,2.2,2.15
S0910,15/08/2009,Bolton,Sunderland,A,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,15/08/2009,Chelsea,Hull,H,1.17,1.2,1.17,1.2,1.2,1.17,0.0,1.17,1.18,1.17,1.17
S0910,15/08/2009,Everton,Arsenal,A,2.3,2.2,2.25,2.3,2.3,2.25,0.0,2.2,2.25,2.3,2.3
S0910,15/08/2009,Portsmouth,Fulham,A,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,2.6
S0910,15/08/2009,Stoke,Burnley,H,1.91,1.91,1.85,1.9,1.9,1.91,0.0,1.9,1.91,1.9,2.0
S0910,15/08/2009,Wolves,West Ham,A,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,16/08/2009,Man United,Birmingham,H,1.2,1.2,1.2,1.2,1.2,1.17,0.0,1.18,1.2,1.17,1.2
S0910,16/08/2009,Tottenham,Liverpool,H,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,18/08/2009,Sunderland,Chelsea,A,1.53,1.53,1.45,1.5,1.5,1.57,0.0,1.5,1.53,1.57,1.5
S0910,18/08/2009,Wigan,Wolves,A,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,19/08/2009,Birmingham,Portsmouth,H,2.0,2.1,1.9,2.0,2.15,2.1,0.0,2.0,2.0,2.0,2.05
S0910,19/08/2009,Burnley,Man United,H,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,19/08/2009,Hull,Tottenham,A,2.0,2.0,1.9,1.95,2.0,2.0,0.0,2.0,2.0,2.0,2.0
S0910,19/08/2009,Liverpool,Stoke,H,1.25,1.25,1.2,1.25,1.22,1.3,0.0,1.22,1.25,1.29,1.25
S0910,22/08/2009,Arsenal,Portsmouth,H,1.17,1.17,1.15,1.2,1.2,1.2,0.0,1.17,1.18,1.17,1.17
S0910,22/08/2009,Birmingham,Stoke,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,22/08/2009,Hull,Bolton,H,2.6,2.5,2.35,2.5,2.3,2.5,0.0,2.35,2.38,2.4,2.5
S0910,22/08/2009,Man City,Wolves,H,1.33,1.36,1.25,1.33,1.35,1.33,0.0,1.25,1.33,1.33,1.36
S0910,22/08/2009,Sunderland,Blackburn,H,2.1,2.1,2.0,2.0,2.1,2.1,0.0,2.0,2.0,2.0,2.1
S0910,22/08/2009,Wigan,Man United,A,1.53,1.53,1.52,1.53,1.6,1.5,0.0,1.5,1.5,1.5,1.53
S0910,23/08/2009,Burnley,Everton,H,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,23/08/2009,Fulham,Chelsea,A,1.57,1.57,1.5,1.55,1.55,1.53,0.0,1.57,1.57,1.5,1.57
S0910,23/08/2009,West Ham,Tottenham,A,2.38,2.38,2.25,2.3,2.25,2.38,0.0,2.25,2.3,2.3,2.3
S0910,24/08/2009,Liverpool,Aston Villa,A,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,29/08/2009,Blackburn,West Ham,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,29/08/2009,Bolton,Liverpool,A,1.53,1.57,1.5,1.55,1.55,1.57,0.0,1.55,1.57,1.57,1.53
S0910,29/08/2009,Chelsea,Burnley,H,1.14,1.12,1.1,1.15,1.17,1.14,0.0,1.12,1.14,1.14,1.14
S0910,29/08/2009,Man United,Arsenal,H,2.2,2.15,2.05,2.1,2.0,2.0,0.0,2.1,2.1,2.1,2.15
S0910,29/08/2009,Stoke,Sunderland,H,2.38,2.38,2.3,2.3,2.3,2.2,0.0,2.3,2.38,2.2,2.38
S0910,29/08/2009,Tottenham,Birmingham,H,1.36,1.33,1.35,1.38,1.35,1.33,0.0,1.33,1.36,1.36,1.33
S0910,29/08/2009,Wolves,Hull,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,30/08/2009,Aston Villa,Fulham,H,1.73,1.73,1.65,1.73,1.77,1.73,0.0,1.7,1.73,1.7,1.73
S0910,30/08/2009,Everton,Wigan,H,1.73,1.73,1.65,1.75,1.7,1.8,0.0,1.7,1.73,1.75,1.75
S0910,30/08/2009,Portsmouth,Man City,A,1.57,1.57,1.5,1.57,1.65,1.62,0.0,1.53,1.57,1.62,1.57
S0910,12/09/2009,Blackburn,Wolves,H,1.83,1.83,1.85,1.85,1.85,1.83,0.0,1.8,1.8,1.85,1.85
S0910,12/09/2009,Liverpool,Burnley,H,1.2,1.2,1.2,1.2,1.22,1.17,0.0,1.13,1.18,1.2,1.17
S0910,12/09/2009,Man City,Arsenal,H,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,12/09/2009,Portsmouth,Bolton,A,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,12/09/2009,Stoke,Chelsea,A,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.35,1.4,1.4,1.36
S0910,12/09/2009,Sunderland,Hull,H,1.75,1.75,1.75,1.77,1.8,1.8,0.0,1.7,1.8,1.8,1.75
S0910,12/09/2009,Tottenham,Man United,A,2.3,2.3,2.2,2.25,2.35,2.25,0.0,2.2,2.2,2.25,2.3
S0910,12/09/2009,Wigan,West Ham,H,2.3,2.3,2.15,2.3,2.2,2.25,0.0,2.2,2.25,2.2,2.25
S0910,13/09/2009,Birmingham,Aston Villa,A,2.25,2.3,2.2,2.2,2.3,2.25,0.0,2.1,2.25,2.25,2.2
S0910,13/09/2009,Fulham,Everton,H,2.6,2.5,2.4,2.6,2.4,2.5,0.0,2.3,2.6,2.6,2.62
S0910,19/09/2009,Arsenal,Wigan,H,1.25,1.29,1.25,1.22,1.22,1.22,0.0,1.2,1.22,1.25,1.22
S0910,19/09/2009,Aston Villa,Portsmouth,H,1.4,1.44,1.35,1.4,1.43,1.36,0.0,1.33,1.4,1.4,1.4
S0910,19/09/2009,Bolton,Stoke,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,19/09/2009,Burnley,Sunderland,H,-1.0,-1.0,-1.0,-1.0,2.55,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,19/09/2009,Hull,Birmingham,A,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,19/09/2009,West Ham,Liverpool,A,1.53,1.57,1.45,1.5,1.55,1.57,0.0,1.5,1.53,1.53,1.53
S0910,20/09/2009,Chelsea,Tottenham,H,1.5,1.5,1.4,1.5,1.55,1.5,0.0,1.45,1.53,1.5,1.44
S0910,20/09/2009,Everton,Blackburn,H,1.8,1.83,1.65,1.75,1.75,1.8,0.0,1.7,1.8,1.83,1.8
S0910,20/09/2009,Man United,Man City,H,1.57,1.57,1.6,1.6,1.6,1.62,0.0,1.57,1.62,1.6,1.62
S0910,20/09/2009,Wolves,Fulham,H,2.5,2.5,2.4,2.5,2.4,2.6,0.0,2.5,2.5,2.5,2.5
S0910,26/09/2009,Birmingham,Bolton,A,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,26/09/2009,Blackburn,Aston Villa,H,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,26/09/2009,Fulham,Arsenal,A,1.53,1.57,1.5,1.55,1.55,1.57,0.0,1.55,1.57,1.57,1.5
S0910,26/09/2009,Liverpool,Hull,H,1.14,1.17,1.15,1.15,1.15,1.14,0.0,1.12,1.14,1.12,1.14
S0910,26/09/2009,Portsmouth,Everton,A,1.91,1.95,1.95,1.9,1.9,1.83,0.0,1.91,1.95,1.91,1.95
S0910,26/09/2009,Stoke,Man United,A,1.4,1.4,1.3,1.4,1.4,1.33,0.0,1.35,1.36,1.4,1.36
S0910,26/09/2009,Tottenham,Burnley,H,1.33,1.33,1.35,1.33,1.35,1.3,0.0,1.33,1.33,1.3,1.33
S0910,26/09/2009,Wigan,Chelsea,H,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,27/09/2009,Sunderland,Wolves,H,1.73,1.73,1.7,1.73,1.75,1.73,0.0,1.7,1.73,1.67,1.7
S0910,28/09/2009,Man City,West Ham,H,1.44,1.44,1.4,1.45,1.45,1.4,0.0,1.4,1.4,1.4,1.4
S0910,03/10/2009,Bolton,Tottenham,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,03/10/2009,Burnley,Birmingham,H,2.3,2.25,2.2,2.25,2.3,2.2,0.0,2.25,2.25,2.2,2.1
S0910,03/10/2009,Hull,Wigan,H,-1.0,-1.0,-1.0,-1.0,2.6,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,03/10/2009,Man United,Sunderland,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,03/10/2009,Wolves,Portsmouth,A,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,04/10/2009,Arsenal,Blackburn,H,1.2,1.22,1.18,1.22,1.2,1.2,0.0,1.22,1.22,1.2,1.2
S0910,04/10/2009,Chelsea,Liverpool,H,2.1,2.1,2.05,2.15,2.1,2.1,0.0,2.1,2.1,2.2,2.1
S0910,04/10/2009,Everton,Stoke,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,04/10/2009,West Ham,Fulham,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,05/10/2009,Aston Villa,Man City,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,17/10/2009,Arsenal,Birmingham,H,1.17,1.17,1.16,1.17,1.2,1.17,0.0,1.15,1.17,1.14,1.17
S0910,17/10/2009,Aston Villa,Chelsea,H,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,17/10/2009,Everton,Wolves,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,17/10/2009,Man United,Bolton,H,1.2,1.22,1.2,1.2,1.2,1.2,0.0,1.18,1.2,1.18,1.2
S0910,17/10/2009,Portsmouth,Tottenham,A,1.83,1.8,1.65,1.8,1.8,1.8,0.0,1.8,1.73,1.8,1.8
S0910,17/10/2009,Stoke,West Ham,H,2.1,2.0,2.15,2.1,2.1,2.1,0.0,2.1,2.1,2.0,2.15
S0910,17/10/2009,Sunderland,Liverpool,H,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,18/10/2009,Blackburn,Burnley,H,1.73,1.75,1.75,1.75,1.75,1.8,0.0,1.7,1.8,1.75,1.75
S0910,18/10/2009,Wigan,Man City,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
S0910,19/10/2009,Fulham,Hull,H,1.67,1.67,1.65,1.7,1.7,1.62,0.0,1.65,1.67,1.67,1.62
